Collection Date,Waterbody Name,Waterbody Type,Latitude,Longitude,Land Use Region,Common Name,Binomial Name,Sex,Fork Length (mm),Total Length (mm),Weight (g),Hg (mg/kg),Feeding Behavior
1997-07-21,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Trout Perch,Percopsis omiscomaycus,Unknown,,46.0,,0.056,Prey
1997-07-21,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Longnose Dace,Rhinichthys cataractae,Unknown,,52.0,,0.192,Prey
1997-07-21,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Longnose Dace,Rhinichthys cataractae,Unknown,,73.0,,0.18,Prey
1997-07-21,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Longnose Dace,Rhinichthys cataractae,Unknown,,53.0,2.0,0.134,Prey
1997-07-21,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Lake Chub (Cisco),Couesius plumbeus,Unknown,,83.0,6.0,0.199,Prey
1997-07-21,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Longnose Dace,Rhinichthys cataractae,Unknown,,65.0,,0.221,Prey
1997-07-21,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Longnose Dace,Rhinichthys cataractae,Unknown,,55.0,2.0,0.219,Prey
1997-07-21,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Trout Perch,Percopsis omiscomaycus,Unknown,,51.0,,0.072,Prey
1997-07-21,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Trout Perch,Percopsis omiscomaycus,Unknown,,48.0,,0.025,Prey
1997-07-21,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Trout Perch,Percopsis omiscomaycus,Unknown,,53.0,1.0,0.037,Prey
1997-07-21,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Trout Perch,Percopsis omiscomaycus,Unknown,,68.0,4.0,0.187,Prey
1997-07-22,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Burbot,Lota lota,Unknown,321.0,,200.0,0.351,Predator
1997-07-22,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Lake Chub (Cisco),Couesius plumbeus,Unknown,77.0,,5.0,0.197,Prey
1997-07-22,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Burbot,Lota lota,Unknown,408.0,,1405.0,0.371,Predator
1997-07-22,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Burbot,Lota lota,Unknown,610.0,,1312.0,0.448,Predator
1997-07-22,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Burbot,Lota lota,Unknown,305.0,,165.0,0.265,Predator
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Mountain Whitefish,Prosopium williamsoni,Unknown,260.0,,201.0,0.06,Predator and Prey
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Burbot,Lota lota,Unknown,719.0,,1826.0,0.419,Predator
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Burbot,Lota lota,Unknown,546.0,,1016.0,0.374,Predator
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Burbot,Lota lota,Unknown,603.0,,1068.0,0.491,Predator
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Lake Chub (Cisco),Couesius plumbeus,Unknown,118.0,,21.0,0.184,Prey
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Lake Chub (Cisco),Couesius plumbeus,Unknown,118.0,,21.0,0.181,Prey
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Mountain Whitefish,Prosopium williamsoni,Unknown,250.0,,196.0,0.079,Predator and Prey
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Northern Pike,Esox lucius,Unknown,706.0,,2446.0,0.522,Predator
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Mountain Whitefish,Prosopium williamsoni,Unknown,256.0,,206.0,0.098,Predator and Prey
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Northern Pike,Esox lucius,Unknown,544.0,,1138.0,0.355,Predator
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Northern Pike,Esox lucius,Unknown,774.0,,3281.0,0.797,Predator
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Northern Pike,Esox lucius,Unknown,691.0,,2626.0,0.471,Predator
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Mountain Whitefish,Prosopium williamsoni,Unknown,140.0,,27.0,0.032,Predator and Prey
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Mountain Whitefish,Prosopium williamsoni,Unknown,278.0,,276.0,0.118,Predator and Prey
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Mountain Whitefish,Prosopium williamsoni,Unknown,253.0,,209.0,0.06,Predator and Prey
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Cutthroat Trout,Oncorhynchus clarki,Unknown,186.0,,57.0,0.061,Predator
1997-07-23,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Northern Pike,Esox lucius,Unknown,535.0,,1025.0,0.27,Predator
1997-07-24,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Burbot,Lota lota,Unknown,286.0,,137.0,0.212,Predator
1997-07-24,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Lake Chub (Cisco),Couesius plumbeus,Unknown,85.0,,7.0,0.175,Prey
1997-07-24,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,175.0,,62.0,0.111,Prey
1997-07-24,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,173.0,,62.0,0.069,Prey
1997-07-24,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,150.0,,36.0,0.1,Prey
1997-07-24,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Burbot,Lota lota,Unknown,309.0,,160.0,0.324,Predator
1997-07-24,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Burbot,Lota lota,Unknown,437.0,,233.0,0.301,Predator
1997-07-24,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Lake Chub (Cisco),Couesius plumbeus,Unknown,85.0,,6.0,0.162,Prey
1997-07-24,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Cutthroat Trout,Oncorhynchus clarki,Unknown,205.0,,82.0,0.026,Predator
1997-07-25,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Burbot,Lota lota,Unknown,560.0,,996.0,0.349,Predator
1997-07-25,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Burbot,Lota lota,Unknown,674.0,,1518.0,0.51,Predator
1997-07-25,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Rainbow Trout,Oncorhynchus mykiss,Unknown,335.0,,473.0,0.291,Predator
1997-07-25,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Mountain Whitefish,Prosopium williamsoni,Unknown,161.0,,43.0,0.029,Predator and Prey
1997-07-25,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,345.0,,527.0,0.37,Prey
1997-07-25,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,313.0,,430.0,0.317,Prey
1997-07-25,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,304.0,,400.0,0.083,Prey
1997-07-29,Chain Lakes Reservoir (Chain Lakes Provincial Park),Reservoir,50.24071,-114.208554,South Saskatchewan,Rainbow Trout,Oncorhynchus mykiss,Unknown,,169.0,62.0,0.46,Predator
1997-07-29,Chain Lakes Reservoir (Chain Lakes Provincial Park),Reservoir,50.24071,-114.208554,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,,265.0,221.0,0.087,Prey
1997-07-29,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,373.0,,677.0,0.333,Prey
1997-07-29,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,390.0,,787.0,0.483,Prey
1997-07-29,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,Rainbow Trout,Oncorhynchus mykiss,Unknown,137.0,,32.0,0.041,Predator
1997-07-30,Chain Lakes Reservoir (Chain Lakes Provincial Park),Reservoir,50.24071,-114.208554,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,255.0,,206.0,0.117,Prey
1997-07-30,Chain Lakes Reservoir (Chain Lakes Provincial Park),Reservoir,50.24071,-114.208554,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,265.0,,221.0,0.072,Prey
1997-07-30,Chain Lakes Reservoir (Chain Lakes Provincial Park),Reservoir,50.24071,-114.208554,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,302.0,,312.0,0.11,Prey
1997-07-30,Chain Lakes Reservoir (Chain Lakes Provincial Park),Reservoir,50.24071,-114.208554,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,323.0,,348.0,0.102,Prey
1997-07-30,Chain Lakes Reservoir (Chain Lakes Provincial Park),Reservoir,50.24071,-114.208554,South Saskatchewan,Mountain Whitefish,Prosopium williamsoni,Unknown,315.0,,426.0,0.036,Predator and Prey
1997-07-30,Willow Creek,River,50.121128,-113.776474,South Saskatchewan,White Sucker,Catostomus commersoni,Unknown,,358.0,641.0,0.582,Prey
1997-07-30,Chain Lakes Reservoir (Chain Lakes Provincial Park),Reservoir,50.24071,-114.208554,South Saskatchewan,Rainbow Trout,Oncorhynchus mykiss,Unknown,159.0,,50.0,0.033,Predator
1997-07-30,Chain Lakes Reservoir (Chain Lakes Provincial Park),Reservoir,50.24071,-114.208554,South Saskatchewan,Rainbow Trout,Oncorhynchus mykiss,Unknown,,284.0,260.0,0.112,Predator
