Program_ID,Sample_ID,Collection Date,Date_flag,Waterbody Name,Waterbody Type, Latitude, Longitude,Land Use Region,FWMIS ID,Species Code,Common Name,Binomial Name,Sex,Fork Length (mm),Fork LengthMeasurement ,Total Length (mm),Total LengthMeasurement,LengthEstimateFactor,Weight (g),WeightMeasurement,Maturity,Age (years),Aging Structure,Hg (mg/kg)
09-ED-EBTR-49,EL-49-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,245,Unknown,258,Unknown,NA,189,Unknown,Unknown,NA,NA,0.064
09-ED-EBTR-48,EL-48-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,315,Unknown,327,Unknown,NA,459,Unknown,Unknown,NA,NA,0.114
09-ED-EBTR-47,EL-47-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,288,Unknown,305,Unknown,NA,289,Unknown,Unknown,NA,NA,0.112
09-ED-EBTR-46,EL-46-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,303,Unknown,313,Unknown,NA,336,Unknown,Unknown,NA,NA,0.214
09-ED-EBTR-45,EL-45-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,215,Unknown,225,Unknown,NA,101,Unknown,Unknown,NA,NA,0.046
09-ED-EBTR-44,EL-44-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,338,Unknown,354,Unknown,NA,503,Unknown,Unknown,NA,NA,0.235
09-ED-EBTR-43,EL-43-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,225,Unknown,236,Unknown,NA,113,Unknown,Unknown,NA,NA,0.069
09-ED-EBTR-42,EL-42-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,203,Unknown,211,Unknown,NA,98,Unknown,Unknown,NA,NA,0.045
09-ED-EBTR-41,EL-41-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,225,Unknown,240,Unknown,NA,147,Unknown,Unknown,NA,NA,0.077
09-ED-EBTR-40,EL-40-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,308,Unknown,321,Unknown,NA,330,Unknown,Unknown,NA,NA,0.153
09-ED-EBTR-39,EL-39-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,133,Unknown,140,Unknown,NA,31,Unknown,Unknown,NA,NA,0.162
09-ED-EBTR-38,EL-38-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,235,Unknown,246,Unknown,NA,156,Unknown,Unknown,NA,NA,0.059
09-ED-EBTR-37,EL-37-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,156,Unknown,165,Unknown,NA,42,Unknown,Unknown,NA,NA,0.164
09-ED-EBTR-36,EL-36-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,216,Unknown,223,Unknown,NA,118,Unknown,Unknown,NA,NA,0.072
09-ED-EBTR-35,EL-35-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,295,Unknown,306,Unknown,NA,326,Unknown,Unknown,NA,NA,0.137
09-ED-EBTR-34,EL-34-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,299,Unknown,312,Unknown,NA,328,Unknown,Unknown,NA,NA,0.485
09-ED-EBTR-33,EL-33-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,276,Unknown,292,Unknown,NA,257,Unknown,Unknown,NA,NA,0.108
09-ED-EBTR-32,EL-32-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,199,Unknown,210,Unknown,NA,92,Unknown,Unknown,NA,NA,0.05
09-ED-EBTR-31,EL-31-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,270,Unknown,287,Unknown,NA,268,Unknown,Unknown,NA,NA,0.109
09-ED-EBTR-30,EL-30-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,275,Unknown,285,Unknown,NA,241,Unknown,Unknown,NA,NA,0.167
09-ED-EBTR-29,EL-29-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,289,Unknown,298,Unknown,NA,306,Unknown,Unknown,NA,NA,0.224
09-ED-EBTR-28,EL-28-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,330,Unknown,346,Unknown,NA,487,Unknown,Unknown,NA,NA,0.185
09-ED-EBTR-27,EL-27-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,240,Unknown,250,Unknown,NA,169,Unknown,Unknown,NA,NA,0.116
09-ED-EBTR-26,EL-26-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,297,Unknown,310,Unknown,NA,281,Unknown,Unknown,NA,NA,0.088
09-ED-EBTR-25,EL-25-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,316,Unknown,328,Unknown,NA,380,Unknown,Unknown,NA,NA,0.132
09-ED-EBTR-24,EL-24-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,239,Unknown,243,Unknown,NA,166,Unknown,Unknown,NA,NA,0.072
09-ED-EBTR-23,EL-23-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,262,Unknown,285,Unknown,NA,280,Unknown,Unknown,NA,NA,0.113
09-ED-EBTR-22,EL-22-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,252,Unknown,262,Unknown,NA,179,Unknown,Unknown,NA,NA,0.056
09-ED-EBTR-21,EL-21-09,30-Oct-09,Unknown,Edith Lake,Lake,54.801726,-115.382585,Upper Athabasca,4505,BKTR, Brook Trout,Salvelinus fontinalis,Unknown,244,Unknown,255,Unknown,NA,182,Unknown,Unknown,NA,NA,0.062
